temp,dew,humidity,precip,precipprob,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,year,quarter,month,week,day,hour
1.9,-0.5,84.25,0.417,100,23.1,11,999.9,62.2,0,0,0,2010,1,1,1,1,0
1.9,-0.5,83.9,0,0,21.8,19,999.8,22.4,0,0,0,2010,1,1,1,1,1
1.4,-0.7,85.76,0,0,15.2,10,1000,38,0,0,0,2010,1,1,1,1,2
1.4,-0.7,85.69,0,0,18,11,1000.2,66.7,0,0,0,2010,1,1,1,1,3
1.3,-0.8,85.72,0,0,17.4,10,1000.5,62.8,0,0,0,2010,1,1,1,1,4
0.6,-1,89.01,0,0,18.2,2,1000.9,26.3,0,0,0,2010,1,1,1,1,5
0.9,-0.7,89.16,0.015,100,15.4,9,1001.3,10,0,0,0,2010,1,1,1,1,6
0.2,-1.6,87.99,0,0,12.6,360,1002,10,0,0,0,2010,1,1,1,1,7
-0.5,-2.2,88.55,0,0,13.1,351,1002.5,32.7,23.6,0.1,0,2010,1,1,1,1,8
-0.6,-2.8,85.4,0,0,14.2,351,1003.6,37.8,93,0.3,1,2010,1,1,1,1,9
0.1,-2.5,82.58,0,0,14,352,1004.3,37,137.4,0.5,1,2010,1,1,1,1,10
1.4,-2.5,75.45,0,0,18.6,360,1004.8,35.4,183.4,0.7,2,2010,1,1,1,1,11
2.2,-1.6,75.66,0.371,100,20.1,359,1005.1,34,179.8,0.6,2,2010,1,1,1,1,12
2.6,-1.8,72.7,0,0,19.1,359,1005.5,33.1,155.6,0.6,2,2010,1,1,1,1,13
2.8,-2,70.52,0,0,18.5,351,1006,34.5,93.4,0.3,1,2010,1,1,1,1,14
2.6,-2.3,69.79,0,0,14.9,343,1006.6,31.5,23.8,0.1,0,2010,1,1,1,1,15
1.6,-2.8,72.82,0,0,9.9,329,1007.4,23.8,0,0,0,2010,1,1,1,1,16
0.6,-3,77.03,0,0,8.5,322,1008.2,15.5,0,0,0,2010,1,1,1,1,17
-0.5,-2.9,83.6,0,0,10.3,321,1009,13.3,0,0,0,2010,1,1,1,1,18
-1,-3.2,84.71,0,0,10.5,325,1009.7,13.4,0,0,0,2010,1,1,1,1,19
-0.9,-3.1,85.33,0,0,7.6,317,1010.3,14.6,0,0,0,2010,1,1,1,1,20
-1.6,-3.3,88.13,0,0,10.5,306,1010.8,20.3,0,0,0,2010,1,1,1,1,21
-1.8,-3.7,88.13,0,0,8.9,283,1011.2,32.1,0,0,0,2010,1,1,1,1,22
-2.1,-3.8,88.13,0,0,6.4,227,1011.4,10,0,0,0,2010,1,1,1,1,23
